    Time   CPU   Ave.Iters(2)  err(2)   CFL-U   CFL-V   CFL-W   
     0.4500      27.5469      13.2440   0.4218E-02       0.0403       0.0000       0.0955
     0.9000      53.0781      11.9740   0.4151E-02       0.0429       0.0000       0.0955
     1.3500      89.0312      15.6987   0.4077E-02       0.0429       0.0000       0.0955
     1.8000     120.3438      16.1680   0.4004E-02       0.0457       0.0000       0.0955
     2.2500     161.6719      18.7664   0.3980E-02       0.0490       0.0000       0.0955
     2.7000     208.0938      21.4927   0.3971E-02       0.0495       0.0000       0.0955
     3.1500     239.7188      20.8714   0.4016E-02       0.0519       0.0000       0.0955
     3.6000     278.2188      21.5145   0.3998E-02       0.0519       0.0000       0.0955
     4.0500     324.5781      23.0120   0.3998E-02       0.0530       0.0000       0.0955
     4.5000     404.9844      28.2480   0.3916E-02       0.0540       0.0000       0.1031
     4.9500     494.1562      33.3284   0.3825E-02       0.0581       0.0000       0.1044
     5.4000     558.3438      35.2327   0.3807E-02       0.0596       0.0000       0.1044
     5.8500     625.6719      37.1646   0.3785E-02       0.0596       0.0000       0.1044
     6.3000     717.7969      40.9163   0.3724E-02       0.0596       0.0000       0.1131
     6.7500     812.9375      44.4019   0.3651E-02       0.0904       0.0000       0.1672
     7.2000     908.2812      47.4668   0.3612E-02       0.3406       0.0000       0.4540
