    Time   CPU   Ave.Iters(2)  err(2)   CFL-U   CFL-V   CFL-W   
     0.4500      24.8594       9.4400   0.3795E-01       0.0405       0.0000       0.0957
     0.9000      50.2500       9.5120   0.3290E-01       0.0431       0.0000       0.0957
     1.3500      86.1094      13.8080   0.3149E-01       0.0431       0.0000       0.0957
     1.8000     118.6406      15.0230   0.2784E-01       0.0460       0.0000       0.0957
     2.2500     151.7500      15.8712   0.2775E-01       0.0499       0.0000       0.0957
     2.7000     181.3750      15.6600   0.2685E-01       0.0499       0.0000       0.0957
     3.1500     207.6719      15.0109   0.2771E-01       0.0522       0.0000       0.0957
     3.6000     243.9688      15.9050   0.2675E-01       0.0522       0.0000       0.0957
     4.0500     274.0781      15.8556   0.2647E-01       0.0522       0.0000       0.0957
     4.5000     305.4062      15.9656   0.2726E-01       0.0533       0.0000       0.1005
     4.9500     333.5938      15.6858   0.2722E-01       0.0565       0.0000       0.1005
     5.4000     363.1875      15.6077   0.2730E-01       0.0574       0.0000       0.1005
     5.8500     391.6250      15.4151   0.2740E-01       0.0574       0.0000       0.1005
     6.3000     419.3281      15.2149   0.2818E-01       0.0586       0.0000       0.1162
     6.7500     453.8906      15.5635   0.3049E-01       0.0812       0.0000       0.1339
     7.2000     543.3438      19.9300   0.3288E-01       0.1632       0.0000       0.2672
