    Time   CPU   Ave.Iters(2)  err(2)   CFL-U   CFL-V   CFL-W   
     0.4500      91.8438      90.7560   0.6052E-03       0.0402       0.0000       0.0939
     0.9000     185.4688      91.8820   0.5975E-03       0.0427       0.0000       0.0939
     1.3500     281.8594      93.1533   0.5758E-03       0.0428       0.0000       0.0939
     1.8000     377.2344      93.5110   0.5643E-03       0.0459       0.0000       0.0939
     2.2500     472.8906      93.8184   0.5582E-03       0.0501       0.0000       0.0958
     2.7000     567.7656      93.9120   0.5640E-03       0.0503       0.0000       0.0958
     3.1500     663.1875      94.1229   0.5580E-03       0.0533       0.0000       0.0958
     3.6000     759.0156      94.3235   0.5564E-03       0.0533       0.0000       0.0958
     4.0500     855.2500      94.5222   0.5491E-03       0.0533       0.0000       0.1001
     4.5000     951.1094      94.6492   0.5481E-03       0.0533       0.0000       0.1032
     4.9500    1046.2031      94.6604   0.5506E-03       0.0569       0.0000       0.1094
     5.4000    1142.1094      94.7453   0.5511E-03       0.0577       0.0000       0.1119
     5.8500    1237.4844      94.7729   0.5518E-03       0.0577       0.0000       0.1119
     6.3000    1333.4531      94.8474   0.5520E-03       0.0577       0.0000       0.1239
     6.7500    1428.4844      94.8272   0.5539E-03       0.0714       0.0000       0.1258
     7.2000    1523.2969      94.7903   0.5544E-03       0.1318       0.0000       0.1907
