    Time   CPU   Ave.Iters(2)  err(2)   CFL-U   CFL-V   CFL-W   
     0.4500      24.6094       0.0000   0.0000E+00       0.0319       0.0000       0.3150
     0.9000      40.7500       0.0000   0.0000E+00       0.0319       0.0000       0.3150
     1.3500      56.8906       0.0000   0.0000E+00       0.0319       0.0000       0.3150
     1.8000      73.0781       0.0000   0.0000E+00       0.0319       0.0000       0.3187
     2.2500      89.2500       0.0000   0.0000E+00       0.0333       0.0000       0.3187
     2.7000     105.4219       0.0000   0.0000E+00       0.0344       0.0000       0.3187
     3.1500     121.6094       0.0000   0.0000E+00       0.0355       0.0000       0.3187
     3.6000     137.7812       0.0000   0.0000E+00       0.0362       0.0000       0.3187
     4.0500     153.9844       0.0000   0.0000E+00       0.0370       0.0000       0.3187
     4.5000     170.1875       0.0000   0.0000E+00       0.0370       0.0000       0.3187
     4.9500     186.3281       0.0000   0.0000E+00       0.0370       0.0000       0.3187
     5.4000     202.5469       0.0000   0.0000E+00       0.0370       0.0000       0.3187
     5.8500     218.7031       0.0000   0.0000E+00       0.0370       0.0000       0.3187
     6.3000     235.0156       0.0000   0.0000E+00       0.0370       0.0000       0.3187
     6.7500     251.2344       0.0000   0.0000E+00       0.0370       0.0000       0.3187
     7.2000     267.4062       0.0000   0.0000E+00       0.0370       0.0000       0.3187
